,State,Mean_Acc_Count,Mean_Severity,Mean_Distance,Mean_Severe_Count
0,AL,13472.533333333333,2.24263687106607,0.4769616799930175,243.73333333333332
1,AR,3037.3333333333335,2.2762949956101846,1.420479763041901,376.93333333333334
2,AZ,22747.866666666665,2.1195364840072917,0.5518511452831891,682.1333333333333
3,CA,232191.06666666668,2.1656876836490406,0.48422130853368217,1800.2666666666667
4,CO,12118.0,2.443901633932992,0.9082230071389601,1000.5333333333333
5,CT,9467.333333333334,2.347031899162031,1.1225218927687792,556.2666666666667
6,DC,2484.0,2.1436392914653783,0.38510161032015144,109.46666666666667
7,DE,1879.6,2.254309427537774,0.4446995814416853,206.93333333333334
8,FL,117358.93333333333,2.1400603504689886,0.531760696549406,1753.2
9,GA,22564.533333333333,2.5069312313128567,0.6270588946826254,1703.4666666666667
10,IA,3507.6,2.4194320903181663,1.9510762147753105,275.8666666666667
11,ID,1516.8,2.1156821378340367,1.404853111722445,72.8
12,IL,22527.733333333334,2.3833023591661835,0.382607127212437,575.6
13,IN,8963.2,2.3980721171010355,1.0383331995573817,747.3333333333334
14,KS,2798.9333333333334,2.328077362804878,0.8208648058236689,106.66666666666667
15,KY,4300.533333333334,2.4541762262045017,0.4514442862154473,164.26666666666668
16,LA,19960.133333333335,2.1264587410905738,0.41399459592344356,259.3333333333333
17,MA,8266.133333333333,2.2938415381637527,0.24412228217289209,72.93333333333334
18,MD,18722.266666666666,2.3327018808263955,0.6761111830596235,1452.2666666666667
19,ME,359.73333333333335,2.2038547071905117,0.908487399855594,15.866666666666667
20,MI,21625.466666666667,2.337318346887312,0.4360096306631811,1018.0
21,MN,25611.2,2.16201765894088,0.8208053978924806,115.06666666666666
22,MO,10309.733333333334,2.399609430570464,0.5553680792383029,384.26666666666665
23,MS,2024.1333333333334,2.344311968908504,0.7268836700561395,112.4
24,MT,3799.4666666666667,2.037233295901179,2.218177007284879,61.2
25,NC,45093.2,2.133823577242984,0.2999490684458992,1387.2
26,ND,464.93333333333334,2.013478634929739,1.7980458847146545,2.2666666666666666
27,NE,3849.3333333333335,2.180671977831659,0.34859102906361916,77.2
28,NH,1361.7333333333333,2.243317340644277,0.522083716689554,33.86666666666667
29,NJ,18762.533333333333,2.2337495292035903,0.6054722178189902,784.9333333333333
30,NM,1376.6666666666667,2.372106537530266,1.3322742851013825,76.4
31,NV,2888.6666666666665,2.2308792984075696,0.9229198693378773,96.0
32,NY,46394.666666666664,2.259549948269916,0.7515621276310744,1433.2
33,OH,15748.666666666666,2.3536976675274097,0.5679000465796582,859.6
34,OK,11152.933333333332,2.0773129938909944,0.07734702987644879,64.66666666666667
35,OR,23954.666666666668,2.112406768340198,1.024952749544644,785.8666666666667
36,PA,39549.333333333336,2.205764951790169,0.9107661723542352,2115.6
37,RI,2262.8,2.458252312768841,0.2733812974479556,15.866666666666667
38,SC,51007.6,2.1110553460007266,0.3057860736194591,412.6666666666667
39,SD,38.53333333333333,2.442906574394464,2.700916954901804,8.0
40,TN,22318.4,2.1980607928883793,0.5456278406602146,465.2
41,TX,77711.6,2.2241244121426744,0.2828497813502552,961.2
42,UT,12943.866666666667,2.1819136991522368,0.7793694930208285,219.46666666666667
43,VA,40440.13333333333,2.2789736928002218,0.762057154613571,2426.9333333333334
44,VT,123.46666666666667,2.42548596112311,1.661640392579476,12.0
45,WA,14429.466666666667,2.3441383834930374,0.47749941315789474,545.4666666666667
46,WI,4625.066666666667,2.473939114391144,0.5877937327167758,461.6
47,WV,1839.0666666666666,2.1571811788588415,1.1466278549391204,109.73333333333333
48,WY,500.93333333333334,2.339632685653447,3.860896992489858,72.93333333333334
