,State,City,Year,Count,Mean_Severity,High Severity Count
111,AL,Attalla,2017,5,3.6,2.0
112,AL,Attalla,2018,9,2.5555555555555554,5.0
113,AL,Attalla,2019,34,2.5294117647058822,18.0
114,AL,Attalla,2020,17,2.6470588235294117,5.0
115,AL,Attalla,2021,21,2.619047619047619,7.0
116,AL,Attalla,2022,24,2.4583333333333335,3.0
117,AL,Attalla,2023,1,2.0,0.0
118,AL,Auburn,2016,1,2.0,0.0
119,AL,Auburn,2017,6,2.3333333333333335,2.0
120,AL,Auburn,2018,40,2.825,25.0
121,AL,Auburn,2019,61,2.3278688524590163,20.0
122,AL,Auburn,2020,68,2.6029411764705883,37.0
123,AL,Auburn,2021,95,2.5473684210526315,44.0
124,AL,Auburn,2022,60,2.316666666666667,17.0
125,AL,Autaugaville,2019,6,2.1666666666666665,1.0
126,AL,Autaugaville,2020,17,2.2941176470588234,1.0
127,AL,Autaugaville,2021,10,2.0,0.0
128,AL,Autaugaville,2022,15,2.2666666666666666,0.0
129,AL,Axis,2017,1,2.0,0.0
130,AL,Axis,2018,12,2.0,0.0
131,AL,Axis,2019,5,2.2,1.0
132,AL,Axis,2020,12,2.1666666666666665,0.0
133,AL,Axis,2021,2,2.0,0.0
134,AL,Axis,2022,3,2.3333333333333335,1.0
135,AL,Baileyton,2018,1,2.0,0.0
136,AL,Baileyton,2019,5,2.2,1.0
137,AL,Baileyton,2020,7,2.0,0.0
138,AL,Baileyton,2021,8,2.25,0.0
139,AL,Baileyton,2022,1,2.0,0.0
140,AL,Banks,2019,12,2.0,0.0
141,AL,Banks,2020,20,2.0,0.0
142,AL,Banks,2021,10,2.0,0.0
143,AL,Banks,2022,11,2.1818181818181817,0.0
144,AL,Bankston,2019,1,2.0,0.0
145,AL,Bankston,2021,1,2.0,0.0
146,AL,Bankston,2022,1,2.0,0.0
147,AL,Bay Minette,2017,10,2.6,6.0
148,AL,Bay Minette,2018,47,2.574468085106383,25.0
149,AL,Bay Minette,2019,38,2.1052631578947367,4.0
150,AL,Bay Minette,2020,44,2.477272727272727,14.0
151,AL,Bay Minette,2021,69,2.1594202898550723,5.0
152,AL,Bay Minette,2022,86,2.383720930232558,16.0
153,AL,Bay Minette,2023,6,2.0,0.0
154,AL,Bayou La Batre,2017,1,2.0,0.0
155,AL,Bayou La Batre,2018,1,2.0,0.0
156,AL,Bayou La Batre,2019,1,4.0,0.0
157,AL,Bayou La Batre,2021,1,2.0,0.0
158,AL,Bayou la Batre,2018,1,2.0,0.0
159,AL,Bear Creek,2019,1,2.0,0.0
160,AL,Bear Creek,2022,4,2.5,0.0
161,AL,Beatrice,2019,1,2.0,0.0
162,AL,Beatrice,2021,4,2.5,0.0
163,AL,Berry,2018,3,2.0,0.0
164,AL,Berry,2019,7,2.0,0.0
165,AL,Berry,2020,2,2.0,0.0
166,AL,Berry,2021,24,2.1666666666666665,0.0
167,AL,Berry,2022,8,2.0,0.0
168,AL,Bessemer,2017,51,2.7058823529411766,32.0
169,AL,Bessemer,2018,153,2.7516339869281046,113.0
170,AL,Bessemer,2019,115,2.6782608695652175,66.0
171,AL,Bessemer,2020,162,2.3950617283950617,52.0
172,AL,Bessemer,2021,256,2.375,82.0
173,AL,Bessemer,2022,215,2.2418604651162792,32.0
174,AL,Bessemer,2023,12,2.0,0.0
175,AL,Billingsley,2017,1,2.0,0.0
176,AL,Billingsley,2018,4,3.0,0.0
