Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2023-03-25 14:39:41,38.951684,-94.852928,Lenexa,KS,58.0,53.0,10.0,7.0,0.0,Mostly Cloudy
2,2023-03-22 14:31:45,38.971194,-94.718643,Overland Park,KS,68.0,70.0,10.0,7.0,0.0,Mostly Cloudy
2,2023-03-21 09:53:13,39.096262,-94.624949,Kansas City,KS,42.0,85.0,5.0,9.0,0.01,Light Rain
2,2023-03-31 19:37:31,38.971561,-94.717832,Overland Park,KS,62.0,28.0,10.0,9.0,0.0,Fair
2,2023-03-28 15:51:00,38.878536,-94.792776,Olathe,KS,48.0,44.0,10.0,0.0,0.0,Fair
2,2023-03-23 17:49:37,38.99559617,-94.69608664,Shawnee,KS,47.0,66.0,10.0,12.0,0.0,Cloudy
2,2023-03-29 12:13:42,38.758609,-94.962143,Edgerton,KS,51.0,43.0,10.0,0.0,0.0,Fair
2,2023-03-24 16:13:30,38.93509,-94.61429,Leawood,KS,48.0,66.0,9.0,15.0,0.0,Cloudy
2,2023-03-23 10:42:30,38.835954,-94.676794,Stilwell,KS,39.0,89.0,4.0,14.0,0.0,Cloudy
2,2023-03-28 10:08:30,39.072845,-94.617572,Kansas City,KS,36.0,86.0,10.0,9.0,0.0,Cloudy
2,2023-03-28 10:11:00,39.10661817,-94.68057275,Kansas City,KS,36.0,86.0,10.0,9.0,0.0,Cloudy
2,2023-03-29 18:54:26,39.017673,-94.853689,Shawnee,KS,58.0,36.0,10.0,8.0,0.0,Fair
2,2023-03-21 22:22:19,38.781844,-94.677487,Stilwell,KS,45.0,97.0,2.0,13.0,0.0,Fog
2,2023-03-24 21:17:16,39.105028,-94.712578,Kansas City,KS,40.0,86.0,4.0,12.0,0.13,Rain
2,2023-02-27 15:39:30,39.005324,-94.69403,Shawnee,KS,65.0,39.0,10.0,13.0,0.0,Fair
2,2023-03-23 14:49:20,39.106036,-94.733452,Kansas City,KS,46.0,68.0,10.0,10.0,0.0,Cloudy
2,2023-03-21 15:19:00,39.08802100000001,-94.68044,Kansas City,KS,44.0,89.0,6.0,8.0,0.0,Cloudy
2,2023-03-24 18:30:23,38.947959,-94.705359,Overland Park,KS,43.0,82.0,7.0,12.0,0.03,Light Rain
2,2023-03-20 16:37:46,39.098817,-94.613611,Kansas City,KS,60.0,28.0,10.0,15.0,0.0,Fair
2,2023-03-20 21:38:35,39.09633994,-94.6498239,Kansas City,KS,51.0,39.0,10.0,13.0,0.0,Fair
2,2023-03-30 05:52:41,39.048648,-94.642281,Kansas City,KS,40.0,73.0,10.0,7.0,0.0,Fair
2,2023-03-23 19:42:39,38.943455,-94.743855,Lenexa,KS,44.0,76.0,10.0,9.0,0.0,Partly Cloudy
2,2023-03-25 19:12:00,39.08108354,-94.68040109,Kansas City,KS,59.0,44.0,10.0,7.0,0.0,Fair
2,2023-03-23 19:42:39,38.935081,-94.751012,Lenexa,KS,44.0,76.0,10.0,9.0,0.0,Partly Cloudy
2,2023-03-28 08:36:16,38.94541,-94.742193,Lenexa,KS,36.0,82.0,10.0,8.0,0.0,Cloudy
2,2023-03-24 04:29:58,38.920122,-94.763818,Olathe,KS,38.0,73.0,10.0,9.0,0.0,Fair
2,2023-03-25 19:11:41,39.086993,-94.680431,Kansas City,KS,59.0,44.0,10.0,7.0,0.0,Fair
2,2023-03-21 07:28:30,38.947687,-94.889536,Lenexa,KS,41.0,86.0,6.0,17.0,0.03,Light Rain
2,2023-03-20 09:00:30,37.513988,-94.872385,Girard,KS,38.0,46.0,10.0,15.0,0.0,Fair
2,2023-02-27 00:33:18,38.934938,-94.704759,Overland Park,KS,61.0,93.0,4.0,18.0,0.15,Rain
2,2023-03-21 12:47:31,38.916527,-94.852656,Olathe,KS,42.0,92.0,6.0,13.0,0.05,Light Rain
2,2023-03-23 08:04:06,39.022272,-94.691629,Shawnee,KS,39.0,96.0,6.0,10.0,0.0,Cloudy
2,2023-03-31 16:50:02,39.106185,-94.804682,Kansas City,KS,69.0,33.0,10.0,25.0,0.0,Mostly Cloudy / Windy
2,2023-03-21 11:42:28,38.97879481,-94.71136451,Overland Park,KS,40.0,93.0,6.0,10.0,0.09,Cloudy
2,2023-02-27 12:28:40,39.091721,-94.630713,Kansas City,KS,61.0,52.0,10.0,17.0,0.0,Fair
2,2023-02-27 07:44:00,37.746447,-97.319009,Wichita,KS,48.0,58.0,10.0,20.0,0.0,Fair
2,2023-03-23 16:47:00,38.971194,-94.718643,Overland Park,KS,47.0,68.0,10.0,13.0,0.0,Cloudy
2,2023-03-27 16:57:00,38.872127,-94.795267,Olathe,KS,53.0,38.0,10.0,5.0,0.0,Fair
2,2023-03-28 08:36:16,38.94541,-94.742193,Lenexa,KS,36.0,82.0,10.0,8.0,0.0,Cloudy
2,2023-03-22 05:43:29,38.811221,-94.883763,Gardner,KS,47.0,100.0,1.0,8.0,0.0,Fog
2,2023-03-24 21:48:13,39.027097,-94.690413,Shawnee,KS,38.0,93.0,6.0,3.0,0.22,Rain
2,2023-03-21 15:37:49,39.007545,-94.694522,Shawnee,KS,44.0,93.0,5.0,8.0,0.0,Cloudy
2,2023-03-19 11:28:58,38.938922,-94.747978,Lenexa,KS,32.0,35.0,10.0,3.0,0.0,Fair
2,2023-03-20 17:09:30,38.846445,-94.826594,Olathe,KS,59.0,29.0,10.0,21.0,0.0,Fair / Windy
2,2023-03-22 14:33:00,38.967384,-94.722255,Overland Park,KS,68.0,70.0,10.0,7.0,0.0,Mostly Cloudy
2,2023-03-21 11:37:30,38.971194,-94.718643,Overland Park,KS,40.0,93.0,6.0,10.0,0.09,Cloudy
2,2023-03-20 00:00:00,37.514428,-94.89741,Girard,KS,32.0,51.0,10.0,8.0,0.0,Fair
2,2023-03-20 17:23:02,39.083016,-94.680411,Kansas City,KS,60.0,28.0,10.0,15.0,0.0,Fair
2,2023-02-28 07:58:06,39.053207,-94.679213,Kansas City,KS,37.0,76.0,10.0,12.0,0.0,Partly Cloudy
2,2023-03-22 11:22:41,39.045447,-94.789358,Kansas City,KS,48.0,100.0,3.0,5.0,0.0,Cloudy
2,2023-03-31 12:45:31,39.067223,-94.620409,Kansas City,KS,75.0,50.0,10.0,24.0,0.0,Partly Cloudy / Windy
2,2023-02-28 01:33:35,39.105908,-94.702768,Kansas City,KS,42.0,67.0,10.0,7.0,0.0,Fair
2,2023-03-22 07:41:30,37.75484,-97.373893,Wichita,KS,59.0,87.0,10.0,16.0,0.0,Fair
2,2023-03-29 16:49:51,38.98317218,-94.70750213,Overland Park,KS,59.0,29.0,10.0,7.0,0.0,Fair
2,2023-03-24 19:20:09,39.097086,-94.659267,Kansas City,KS,46.0,73.0,9.0,12.0,0.05,Light Rain
2,2023-03-25 19:11:41,39.08986,-94.680454,Kansas City,KS,59.0,44.0,10.0,7.0,0.0,Fair
2,2023-03-31 12:12:28,39.055611,-94.630512,Kansas City,KS,77.0,56.0,10.0,23.0,0.0,Partly Cloudy / Windy
2,2023-03-24 14:08:00,37.673478,-97.389175,Wichita,KS,49.0,66.0,10.0,10.0,0.0,Cloudy
2,2023-03-24 16:13:30,38.93343400000001,-94.620013,Leawood,KS,48.0,66.0,9.0,15.0,0.0,Cloudy
2,2023-03-22 14:39:29,38.934855,-94.689832,Overland Park,KS,68.0,70.0,10.0,7.0,0.0,Mostly Cloudy
2,2023-03-21 14:41:03,39.097464,-94.680285,Kansas City,KS,44.0,89.0,6.0,8.0,0.0,Cloudy
2,2023-03-31 15:04:04,38.905182,-94.685662,Overland Park,KS,77.0,18.0,10.0,22.0,0.0,Partly Cloudy / Windy
2,2023-02-28 01:42:18,39.049179,-94.640844,Kansas City,KS,42.0,67.0,10.0,7.0,0.0,Fair
2,2023-03-24 18:54:36,39.10543300000001,-94.707402,Kansas City,KS,46.0,73.0,9.0,12.0,0.05,Light Rain
2,2023-03-31 12:12:28,39.04863954,-94.6422708,Kansas City,KS,77.0,56.0,10.0,23.0,0.0,Partly Cloudy / Windy
2,2023-03-22 06:32:00,38.811357,-94.883443,Gardner,KS,48.0,93.0,0.5,7.0,0.0,Fog
4,2023-03-29 14:10:00,38.758045,-94.96264,Edgerton,KS,56.0,36.0,10.0,7.0,0.0,Fair
2,2023-03-24 21:17:16,39.105288,-94.708721,Kansas City,KS,40.0,86.0,4.0,12.0,0.13,Rain
2,2023-03-21 11:22:01,39.105187,-94.70987,Kansas City,KS,42.0,89.0,8.0,10.0,0.02,Light Rain
2,2023-02-26 18:14:56,39.105892,-94.697614,Kansas City,KS,50.0,96.0,4.0,6.0,0.0,Cloudy
2,2023-03-30 13:25:30,38.859229,-94.810418,Olathe,KS,67.0,52.0,10.0,24.0,0.0,Partly Cloudy / Windy
2,2023-03-29 19:13:25,39.10618901,-94.80468392,Kansas City,KS,59.0,31.0,10.0,7.0,0.0,Fair
2,2023-03-31 12:13:30,39.04863954,-94.6422708,Kansas City,KS,77.0,56.0,10.0,23.0,0.0,Partly Cloudy / Windy
2,2023-03-31 16:12:30,38.988505,-94.7021,Overland Park,KS,70.0,25.0,10.0,22.0,0.0,Partly Cloudy / Windy
2,2023-03-29 19:41:32,39.093337,-94.881834,Bonner Springs,KS,57.0,34.0,10.0,3.0,0.0,Fair
2,2023-02-27 16:17:35,38.992998,-94.697813,Overland Park,KS,65.0,39.0,10.0,13.0,0.0,Fair
2,2023-03-25 17:26:09,38.942101,-94.703428,Overland Park,KS,59.0,46.0,10.0,7.0,0.0,Fair
2,2023-03-24 08:49:37,38.98317218,-94.70750213,Overland Park,KS,38.0,76.0,10.0,12.0,0.0,Partly Cloudy
2,2023-03-29 19:17:30,39.10618901,-94.80468392,Kansas City,KS,59.0,31.0,10.0,7.0,0.0,Fair
2,2023-03-24 22:48:47,38.98729,-94.703266,Overland Park,KS,37.0,93.0,5.0,7.0,0.24,Light Rain
2,2023-03-21 11:22:01,39.105187,-94.70987,Kansas City,KS,42.0,89.0,8.0,10.0,0.02,Light Rain
2,2023-03-26 08:42:46,39.03973,-94.672447,Mission,KS,39.0,86.0,10.0,10.0,0.0,Partly Cloudy
2,2023-03-21 08:48:58,39.044232,-94.676194,Kansas City,KS,42.0,82.0,8.0,8.0,0.0,Light Rain
2,2023-03-26 00:44:34,39.076326,-94.680395,Kansas City,KS,48.0,89.0,10.0,0.0,0.01,Cloudy
2,2023-03-23 08:33:58,39.042962,-94.662407,Mission,KS,39.0,93.0,8.0,12.0,0.0,Cloudy
2,2023-03-24 16:13:30,38.93509,-94.61429,Leawood,KS,48.0,66.0,9.0,15.0,0.0,Cloudy
2,2023-03-24 16:15:15,38.933578,-94.674962,Overland Park,KS,48.0,66.0,9.0,15.0,0.0,Cloudy
