Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2016-12-06 06:23:43,35.08076,-89.93751999999998,Memphis,TN,44.6,93.0,5.0,9.2,0.02,Light Rain
2,2016-12-06 06:30:14,35.08076,-89.93751999999998,Memphis,TN,44.6,93.0,5.0,9.2,0.02,Light Rain
2,2016-12-06 06:36:45,35.08076,-89.93751999999998,Memphis,TN,44.6,93.0,5.0,9.2,0.02,Light Rain
3,2016-12-06 07:15:45,36.15443,-86.76102,Nashville,TN,57.0,87.0,10.0,5.8,,Overcast
3,2016-12-06 07:15:45,36.15313,-86.76451999999998,Nashville,TN,57.0,87.0,10.0,5.8,,Overcast
2,2016-12-06 07:19:45,36.10776,-86.72012,Nashville,TN,55.9,93.0,1.8,4.6,0.01,Rain
2,2016-12-06 08:42:07,35.86704,-83.95968,Louisville,TN,51.1,89.0,7.0,12.7,0.01,Light Rain
2,2016-12-06 08:19:45,36.247781,-86.742889,Madison,TN,55.0,93.0,1.2,5.8,0.16,Heavy Rain
2,2016-12-06 09:36:04,36.10776,-86.72012,Nashville,TN,57.0,83.0,10.0,3.5,0.01,Mostly Cloudy
2,2016-12-06 10:26:13,36.42126,-86.71651999999997,Goodlettsville,TN,55.0,89.0,2.0,8.1,0.0,Light Rain
4,2016-12-06 13:13:45,36.5086,-82.42808000000002,Kingsport,TN,46.0,93.0,2.0,,0.07,Rain
2,2016-12-06 13:21:45,35.03032,-85.18088,Chattanooga,TN,55.9,93.0,2.0,8.1,0.0,Light Drizzle
2,2016-12-06 13:50:49,36.16841,-86.76606,Nashville,TN,48.0,89.0,8.0,12.7,0.0,Overcast
2,2016-12-06 17:20:22,36.174701,-86.771191,Nashville,TN,46.9,80.0,10.0,5.8,,Overcast
2,2016-12-06 18:03:29,36.52914000000001,-87.22689,Clarksville,TN,41.0,79.0,10.0,9.2,,Mostly Cloudy
2,2016-12-06 18:47:46,36.12496,-86.81349,Nashville,TN,46.0,79.0,10.0,4.6,,Mostly Cloudy
2,2016-12-07 08:11:11,36.472275,-82.541178,Kingsport,TN,36.0,89.0,10.0,3.5,,Partly Cloudy
3,2016-12-07 08:22:26,36.13917100000001,-86.82257,Nashville,TN,37.9,86.0,5.0,6.9,,Overcast
2,2016-12-07 08:23:47,36.20882,-86.77620999999998,Nashville,TN,39.9,79.0,7.0,10.4,,Overcast
2,2016-12-07 10:16:46,36.01268,-83.97666,Knoxville,TN,46.9,68.0,10.0,9.2,,Scattered Clouds
2,2016-12-07 10:49:54,35.09996,-85.22861,Chattanooga,TN,50.0,61.0,10.0,8.1,,Scattered Clouds
2,2016-12-07 10:48:34,35.01461,-85.27229,Chattanooga,TN,50.0,61.0,10.0,8.1,,Scattered Clouds
2,2016-12-07 11:41:34,35.09206,-85.2218,Chattanooga,TN,51.1,61.0,10.0,3.5,,Scattered Clouds
2,2016-12-07 10:53:19,36.22089,-86.7747,Nashville,TN,44.1,65.0,10.0,9.2,,Mostly Cloudy
2,2016-12-08 06:09:44,36.14821,-86.69227,Nashville,TN,34.0,56.0,10.0,5.8,,Partly Cloudy
2,2016-12-08 06:09:44,36.20882,-86.77620999999998,Nashville,TN,34.0,56.0,10.0,5.8,,Partly Cloudy
2,2016-12-08 07:28:05,35.93027,-84.03611,Knoxville,TN,37.9,48.0,10.0,5.8,,Mostly Cloudy
2,2016-12-08 06:39:45,35.99284,-86.59262,La Vergne,TN,30.9,72.0,10.0,5.8,,Clear
3,2016-12-08 07:08:27,36.10483,-86.76706,Nashville,TN,34.0,56.0,10.0,8.1,,Scattered Clouds
2,2016-12-08 08:27:16,36.129922,-86.695112,Nashville,TN,34.0,56.0,10.0,10.4,,Mostly Cloudy
2,2016-12-08 09:05:48,35.973396,-86.805098,Brentwood,TN,34.0,56.0,10.0,10.4,,Mostly Cloudy
2,2016-12-08 13:12:42,36.04265,-86.78211,Nashville,TN,39.9,36.0,10.0,11.5,,Mostly Cloudy
2,2016-12-08 17:36:07,36.11035,-86.77051,Nashville,TN,33.1,46.0,10.0,9.2,,Mostly Cloudy
3,2016-12-08 18:38:46,36.188489,-82.97946800000003,Mosheim,TN,34.0,46.0,10.0,7.0,0.0,Partly Cloudy
3,2016-12-08 18:22:09,36.0987,-86.76356,Nashville,TN,33.1,46.0,10.0,9.2,,Mostly Cloudy
2,2016-12-08 19:11:45,35.19144,-89.80006999999998,Cordova,TN,30.2,64.0,10.0,,,Scattered Clouds
4,2016-12-09 03:56:43,36.15402,-86.75844000000002,Nashville,TN,25.0,66.0,10.0,6.9,,Overcast
4,2016-12-09 03:58:02,36.15443,-86.76102,Nashville,TN,25.0,66.0,10.0,6.9,,Overcast
4,2016-12-09 03:58:02,36.15307,-86.76472,Nashville,TN,25.0,66.0,10.0,6.9,,Overcast
2,2016-12-09 06:06:43,36.11320900000001,-86.801649,Nashville,TN,26.1,63.0,10.0,11.5,,Overcast
2,2016-12-09 06:06:43,36.113208,-86.801641,Nashville,TN,26.1,63.0,10.0,11.5,,Overcast
