Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2023-01-29 00:11:55,36.155163,-94.507418,Siloam Springs,AR,48.0,100.0,7.0,6.0,0.0,Cloudy
2,2023-01-21 17:23:05,36.188616,-93.456032,Berryville,AR,36.0,100.0,2.0,3.0,0.0,Rain
2,2023-01-30 17:15:14,34.670942,-92.406687,Little Rock,AR,36.0,79.0,10.0,9.0,0.0,Cloudy
2,2023-01-04 18:14:30,36.074524,-94.202578,Fayetteville,AR,44.0,47.0,10.0,9.0,0.0,Fair
2,2023-01-18 06:17:06,36.10947,-94.169899,Fayetteville,AR,56.0,90.0,3.0,9.0,0.13,Light Rain with Thunder
4,2023-01-17 05:54:11,33.61107,-93.806524,Fulton,AR,61.0,90.0,3.0,8.0,0.0,Fair
2,2023-01-30 06:42:43,34.73747,-94.080262,Boles,AR,29.0,98.0,10.0,9.0,0.0,Cloudy
4,2023-01-21 22:23:03,34.664674,-92.403565,Little Rock,AR,45.0,82.0,10.0,5.0,0.0,Cloudy
2,2023-01-14 15:46:17,36.083855,-94.197638,Fayetteville,AR,50.0,47.0,10.0,8.0,,Fair
2,2023-01-03 17:31:13,33.95976,-93.220729,Gurdon,AR,59.0,51.0,10.0,3.0,0.0,Fair
2,2023-01-19 07:47:58,33.59902,-92.125196,Warren,AR,50.0,71.0,10.0,12.0,0.0,Fair
2,2023-01-30 11:05:30,35.30039191,-94.41342473,Fort Smith,AR,31.0,82.0,10.0,7.0,0.0,Cloudy
2,2023-01-04 13:18:05,34.546655,-91.911469,England,AR,55.0,40.0,10.0,12.0,0.0,Fair
2,2023-01-24 20:29:15,36.066503,-94.201212,Fayetteville,AR,34.0,92.0,0.75,5.0,0.06,Light Snow
2,2023-01-31 08:50:30,35.706649,-90.044208,Osceola,AR,24.0,88.0,10.0,17.0,0.0,Cloudy
2,2023-01-14 13:31:55,34.765945,-92.261848,North Little Rock,AR,46.0,47.0,10.0,0.0,0.0,Mostly Cloudy
2,2023-01-31 02:53:29,35.105121999999994,-90.587026,Widener,AR,28.0,88.0,10.0,18.0,0.0,Wintry Mix
2,2023-01-26 10:07:56,35.176038,-94.04368,Greenwood,AR,31.0,69.0,10.0,9.0,0.0,Fair
4,2023-01-19 19:58:13,35.928799,-90.587704,Brookland,AR,,,,,0.0,
2,2023-01-30 07:14:58,35.770299,-90.578981,Bay,AR,32.0,92.0,2.0,12.0,0.0,Fog
2,2023-01-28 20:57:12,34.755565000000004,-92.391472,Little Rock,AR,52.0,93.0,4.0,5.0,0.1,Heavy Rain
2,2023-01-03 13:50:30,34.387073,-91.382476,Almyra,AR,71.0,61.0,10.0,17.0,0.0,Fair
4,2023-01-23 12:45:21,36.318944,-94.126151,Rogers,AR,43.0,53.0,10.0,5.0,0.0,Fair
4,2023-01-23 14:58:56,34.54937,-92.625536,Benton,AR,51.0,44.0,10.0,0.0,0.0,Fair
2,2023-01-02 21:34:16,34.349246,-92.893943,Malvern,AR,66.0,96.0,5.0,9.0,0.05,T-Storm
2,2023-01-19 07:23:49,34.716796,-92.401397,Little Rock,AR,40.0,93.0,10.0,6.0,0.0,Fair
2,2023-01-30 16:33:56,36.078338,-94.200484,Fayetteville,AR,24.0,84.0,2.0,7.0,0.01,N/A Precipitation
2,2023-01-19 09:38:00,34.465623,-93.022032,Hot Springs National Park,AR,45.0,49.0,10.0,10.0,0.0,Fair
4,2023-01-30 06:15:27,35.338478,-94.386336,Fort Smith,AR,29.0,92.0,6.0,7.0,0.0,Cloudy
4,2023-01-25 00:34:37,36.174058,-94.317161,Springdale,AR,32.0,100.0,10.0,8.0,,Cloudy
2,2023-01-31 07:30:00,35.452557,-91.407032,Bradford,AR,25.0,92.0,10.0,10.0,0.0,Cloudy
4,2023-01-17 07:54:43,34.609623,-92.53749,Benton,AR,62.0,86.0,5.0,3.0,0.0,Mostly Cloudy
2,2023-01-15 00:51:30,34.929074,-91.11234,Wheatley,AR,35.0,89.0,10.0,6.0,0.0,Fair
2,2023-01-30 07:36:34,34.754,-92.262209,North Little Rock,AR,37.0,89.0,5.0,10.0,0.0,Cloudy
2,2023-01-23 20:02:00,34.818629,-91.594033,Hazen,AR,41.0,86.0,10.0,3.0,0.0,Fair
2,2023-01-31 03:51:00,35.133412,-90.467996,Heth,AR,27.0,92.0,3.0,16.0,0.0,Wintry Mix
2,2023-01-30 23:55:00,35.648854,-91.235682,Newport,AR,27.0,92.0,4.0,17.0,0.01,Wintry Mix
2,2023-01-19 06:17:24,34.357464,-91.800565,Wabbaseka,AR,51.0,77.0,10.0,9.0,0.0,Fair
2,2023-01-03 07:05:00,36.054075,-94.194584,Fayetteville,AR,57.0,67.0,10.0,10.0,0.0,Mostly Cloudy
2,2023-01-03 08:08:25,35.15317082,-90.14444232,West Memphis,AR,62.0,96.0,4.0,9.0,0.1,T-Storm
2,2023-01-30 09:55:31,35.907248,-94.193801,West Fork,AR,25.0,88.0,10.0,6.0,0.0,Cloudy
2,2023-01-18 08:36:48,34.670443,-92.406167,Little Rock,AR,63.0,90.0,1.0,7.0,0.0,Fog
2,2023-01-23 16:19:29,34.74517465,-92.33649373,Little Rock,AR,52.0,43.0,10.0,3.0,0.0,Fair
2,2023-01-21 10:49:00,35.49121599999999,-94.177746,Alma,AR,49.0,54.0,10.0,8.0,0.0,Mostly Cloudy
2,2023-01-24 13:07:00,34.690525,-94.199105,Boles,AR,32.0,100.0,0.5,3.0,0.01,Snow
2,2023-01-02 10:45:07,35.014269,-90.836666,Forrest City,AR,70.0,87.0,10.0,12.0,0.0,Cloudy
2,2023-01-24 20:01:44,34.81310964,-92.35357404,Maumelle,AR,37.0,99.0,10.0,14.0,0.08,Light Rain
2,2023-01-30 09:55:31,35.903694,-94.19198,Winslow,AR,25.0,88.0,10.0,6.0,0.0,Cloudy
2,2023-01-05 18:21:05,34.636621000000005,-92.473153,Alexander,AR,53.0,32.0,10.0,10.0,0.0,Fair
2,2023-01-06 06:47:52,34.277458,-92.141458,White Hall,AR,35.0,89.0,10.0,3.0,0.0,Fair
4,2023-01-29 22:33:37,34.456258,-92.757655,Malvern,AR,46.0,96.0,3.0,5.0,0.0,Cloudy
2,2023-01-19 19:58:13,35.918575,-90.58874,Brookland,AR,,,,,0.0,
2,2023-01-30 21:37:00,35.666002,-91.196729,Newport,AR,29.0,92.0,4.0,15.0,0.03,Light Snow
2,2023-01-31 07:56:22,35.796165,-91.020727,Cash,AR,22.0,89.0,10.0,13.0,0.0,Cloudy
2,2023-01-01 08:12:02,34.862702,-91.315754,Brinkley,AR,52.0,93.0,5.0,5.0,0.0,Fair
